,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart,TweetsAgo,Color
367,@FoxNews,"French and Saunders celebrate 300 years in showbiz. 🙌

Full interview 👉 https://t.co/rompNHRjh8

300 Years of Frenc… https://t.co/kzA69viRu4",2017-12-13 10:39:21,0.5719,0.198,0.802,0.0,0.3527777777777778,68.0,green
366,@FoxNews,"RT @BBCTwo: In 2012, Daniel lost both his legs after being run over by a police vehicle.

Since then, he's applied for over 800 jobs... but…",2017-12-13 11:42:41,-0.3182,0.0,0.913,0.087,1.0555555555555556,67.0,green
365,@FoxNews,"RT @bbcmusic: 😎 @Harry_Styles stepped in to host @JKCorden's TV show last night (with 2.5 hours notice!)
👉 https://t.co/KMPl2POLrC https://…",2017-12-13 11:52:55,0.0,0.0,1.0,0.0,0.17055555555555554,66.0,green
364,@FoxNews,Late Junction has spent the year traversing the outer edges of musical experimentation to find the most interesting… https://t.co/D9YD5pVIDU,2017-12-13 12:00:08,0.0,0.0,1.0,0.0,0.12027777777777778,65.0,green
363,@FoxNews,"RT @BBCR1: THAT VOICE 😍

So good to have @SamSmithWorld back in the Live Lounge. One Last Song sounds SO beautiful (and pretty festive, no?…",2017-12-13 12:09:04,0.9455,0.433,0.567,0.0,0.14888888888888888,64.0,green
362,@FoxNews,"RT @BBCR1: How stunning is this? 

@SamSmithWorld covering Have Yourself A Merry Little Christmas is totally perfect. 💫 https://t.co/7rJdEM…",2017-12-13 12:21:18,0.8777,0.419,0.581,0.0,0.2038888888888889,63.0,green
361,@FoxNews,"RT @BBCR1: ⚡️ @SamSmithWorld got everyone in their feelings with his Christmas cover 😭🎄

https://t.co/Y1B16frQ4p",2017-12-13 12:27:30,0.0,0.0,1.0,0.0,0.10333333333333333,62.0,green
360,@FoxNews,"This woman is showing people how to turn their food pics into #FoodPorn. 🍩🤤
Via BBC Minute. https://t.co/sScwTTcPuB",2017-12-13 12:30:02,0.0,0.0,1.0,0.0,0.042222222222222223,61.0,green
359,@FoxNews,"'It was brilliant to sweep in to a room and say, ""hokey-cokey pig in a pokey, good morning job seekers!""'

Who's ex… https://t.co/Ejnm3jvDOP",2017-12-13 13:00:02,0.7901,0.269,0.731,0.0,0.5,60.0,green
358,@FoxNews,RT @bbccomedy: French and Saunders celebrate 300 years in showbiz! 🙌 @FerriFrump @Dawn_French https://t.co/X8WgKukZ8W,2017-12-13 13:11:33,0.6114,0.25,0.75,0.0,0.19194444444444445,59.0,green
357,@FoxNews,RT @bbcthree: PLOT TWIST. #TheApprentice https://t.co/eIpXZy7Jm2,2017-12-13 13:14:21,0.0,0.0,1.0,0.0,0.04666666666666667,58.0,green
356,@FoxNews,"Being friends with George Clooney is probably cool enough...
Now it's been revealed he's given $1 million to each o… https://t.co/AK3GUd8UXq",2017-12-13 13:30:05,0.6597,0.221,0.779,0.0,0.26222222222222225,57.0,green
355,@FoxNews,"When cold air meets warm air, ice crystals form six-sided shapes around a speck of dust, creating a snowflake! ❄️
W… https://t.co/NAgUr0xHZq",2017-12-13 14:03:03,0.5255,0.196,0.804,0.0,0.5494444444444444,56.0,green
354,@FoxNews,This guy made a candy cane pizza and we might need to cancel Christmas. 💈🙅 https://t.co/6DGfL53C2O https://t.co/W0pvpj4V4d,2017-12-13 14:37:03,-0.25,0.0,0.882,0.118,0.5666666666666667,55.0,green
353,@FoxNews,"Whether you're filling hampers or catering for a party, we've got all the biscuit recipes you need for a perfect Ch… https://t.co/9csfsG53Le",2017-12-13 15:12:05,0.7506,0.262,0.738,0.0,0.5838888888888889,54.0,green
352,@FoxNews,RT @BBCNewsEnts: Peter Kay fans will be pleased to hear his final 2 Car Share episodes have already been filmed and will be screened next y…,2017-12-13 15:39:29,0.6249,0.181,0.819,0.0,0.45666666666666667,53.0,green
