,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart
327,@FoxNews,.@IngrahamAngle: Mueller Probe 'Irreparably Tainted' After Revelations of Anti-Trump Bias https://t.co/g9gKx84fOy,2017-12-15 03:41:00,-0.1027,0.0,0.877,0.123,0
328,@FoxNews,".@GOPChairwoman on @POTUS: ""He's ready for 2018, he's always looking to help people's lives be better and he's focu… https://t.co/KUVVpDjNr3",2017-12-15 03:39:21,0.7964,0.323,0.677,0.0,0
329,@FoxNews,".@seanspicer on @SpeakerRyan: ""He's got a lot to be proud of but I think he sees the next few years as an opportuni… https://t.co/z0XgInQQIW",2017-12-15 03:30:38,0.2617,0.089,0.911,0.0,0
330,@FoxNews,".@seanspicer on reports of @SpeakerRyan stepping down: ""I think one of the traps that we as Conservatives need to s… https://t.co/TNdxWslntL",2017-12-15 03:28:47,0.0,0.0,1.0,0.0,0
331,@FoxNews,".@AmbJohnBolton on bias in Mueller investigation: ""I think James Comey so badly bungled the Clinton email investiga… https://t.co/5sjg8gKHbr",2017-12-15 03:21:06,-0.6588,0.0,0.748,0.252,0
332,@FoxNews,".@AmbJohnBolton on bias in Mueller investigation: ""I think we are seeing the destruction of the reputation of the J… https://t.co/V1MeMZvVaF",2017-12-15 03:18:21,-0.6249,0.0,0.779,0.221,0
333,@FoxNews,".@IngrahamAngle: ""What we've seen over the past seven months of the Mueller investigation reveals a lot about how b… https://t.co/oQQClSsMEF",2017-12-15 03:15:47,0.0,0.0,1.0,0.0,0
334,@FoxNews,".@dbongino : ""If there was a text message in 2008 right before the election between 2 senior @FBI agents investigat… https://t.co/9X9WMNY50m",2017-12-15 03:04:09,0.0,0.0,1.0,0.0,0
335,@FoxNews,".@newtgingrich on possible @HillaryClinton and @FBI investigations: ""The Attorney General has to step up to the pla… https://t.co/mzEVoyG0Hv",2017-12-15 02:51:23,0.0,0.0,1.0,0.0,0
336,@FoxNews,"President @realDonaldTrump's grandson Luke is hard at work in the Oval Office to “#MakeAmericaGreatAgain,” accordin… https://t.co/kV0O0ySmJc",2017-12-15 02:42:44,-0.1027,0.0,0.915,0.085,0
337,@FoxNews,".@newtgingrich on Comey's draft statement about @FBI's investigation of @HillaryClinton's emails: ""At every level,… https://t.co/fybZwzPMdf",2017-12-15 02:40:06,0.0,0.0,1.0,0.0,0
338,@FoxNews,".@newtgingrich on Comey's draft statement about @FBI's investigation of @HillaryClinton's emails: ""I think AG Sessi… https://t.co/TpsiCBEDWb",2017-12-15 02:35:41,0.0,0.0,1.0,0.0,0
339,@FoxNews,.@TomFitton on trying to 'hold [Hillary Clinton] accountable' by getting her email records from State &amp; Justice Dep… https://t.co/DCauCVG7lQ,2017-12-15 02:25:40,0.5267,0.159,0.841,0.0,0
340,@FoxNews,".@MarkSteynOnline: ""I think occasionally, 'Do I really want to be alone with a female employee now?' Who knows how… https://t.co/ymlFeuy6Rs",2017-12-15 02:08:13,-0.1706,0.069,0.828,0.103,0
341,@FoxNews,.@seanhannity on James Comey's newly uncovered draft statement on the investigation into @HillaryClinton's emails:… https://t.co/SAssLFiA7G,2017-12-15 02:06:21,0.0,0.0,1.0,0.0,0
342,@FoxNews,".@KatiePavlich: ""Feminists have to make a choice - they either want to be treated like men as they claim, and then… https://t.co/R4MCWMLnV4",2017-12-15 02:05:01,0.4215,0.174,0.826,0.0,0
343,@FoxNews,".@TuckerCarlson: ""Imagine if you were accused by someone, whose name you didn't know, of a misdeed you couldn't rem… https://t.co/9WnfR8ZVeO",2017-12-15 01:45:03,-0.296,0.0,0.891,0.109,0
344,@FoxNews,Officers with the Fairfax County Police Department in Virginia visited Inova Children's Hospital to deliver Christm… https://t.co/tOrrwweYAy,2017-12-15 01:42:39,0.0,0.0,1.0,0.0,0
345,@FoxNews,".@AlanDersh: ""Transparency trumps privacy when you're a government official.""  #Tucker https://t.co/VcHhTbZ61h",2017-12-15 01:33:42,0.0,0.0,1.0,0.0,0
346,@FoxNews,".@AlanDersh: ""Does anybody want to live under a judicial system where one's freedom depends on whether the conduct… https://t.co/hljaw2kPcj",2017-12-15 01:28:19,0.6705,0.256,0.744,0.0,0
347,@FoxNews,".@SenRonJohnson on @HillaryClinton email investigation: ""I have no idea why the @FBI just doesn't come clean and pr… https://t.co/GvdJc8vt4s",2017-12-15 01:21:22,-0.5358,0.0,0.792,0.208,0
348,@FoxNews,".@SenRonJohnson on @HillaryClinton email probe: ""This is not an investigation that was serious about uncovering the… https://t.co/EWQPT0yrDy",2017-12-15 01:15:08,-0.0772,0.0,0.925,0.075,0
349,@FoxNews,Philadelphia City Council approves bill to remove bulletproof glass from storefronts https://t.co/BwjVPWzoJP,2017-12-15 01:00:22,0.4019,0.197,0.803,0.0,0
350,@FoxNews,".@robertjeffress on @POTUS' Israel decision: ""President @realDonaldTrump is not only on the right side of history,… https://t.co/WZ7YnnAuaj",2017-12-15 00:59:17,0.0,0.0,1.0,0.0,0
351,@FoxNews,".@robertjeffress on @POTUS' Israel decision: ""I thank President #Trump for having the guts for doing what no other… https://t.co/1H6TYFVY4L",2017-12-15 00:57:23,0.0772,0.115,0.783,0.101,0
352,@FoxNews,".@Judgenap: It Doesn't Matter Who Made Edits to Clinton Statement, Comey's Responsible https://t.co/QHptKJsMoE",2017-12-15 00:54:22,0.3018,0.16,0.765,0.075,0
353,@FoxNews,Catherine Herridge shares new details about an early draft of then-@FBI Director Comey's statement which recommende… https://t.co/au9cbWPTVX,2017-12-15 00:53:58,0.296,0.121,0.879,0.0,0
354,@FoxNews,"Former Clinton Strategist: Mueller, FBI Face 'Crisis in Public Confidence' https://t.co/4BKuNg0AfA",2017-12-15 00:52:30,-0.2023,0.201,0.549,0.25,0
355,@FoxNews,".@marcthiessen on @POTUS slashing government regulations: ""What he did today with regulations is hugely important b… https://t.co/UqBi1LBvd6",2017-12-15 00:48:57,-0.0018,0.109,0.782,0.109,0
356,@FoxNews,"Matt Bennett on @POTUS slashing government regulations: ""He's not gonna be able to save the Senate based on cutting… https://t.co/m2FZKtkdcz",2017-12-15 00:46:55,0.2732,0.137,0.773,0.09,0
357,@FoxNews,".@marcthiessen on 2018 midterm elections: ""@realDonaldTrump doesn't have to have national approval ratings because… https://t.co/y3OOkCV9DG",2017-12-15 00:44:26,0.4767,0.181,0.819,0.0,0
358,@FoxNews,".@LarrySabato on 2018 midterm elections: ""Democrats have 10 seats with Democratic senators coming up in states that… https://t.co/Ki6CSuQCB5",2017-12-15 00:41:44,0.0,0.0,1.0,0.0,0
359,@FoxNews,"Larry Sabato on Democrats during 2018 midterm elections: ""The out-of-power party tends to be energized at midterm e… https://t.co/hBjewCgpKe",2017-12-15 00:37:48,0.7184,0.261,0.739,0.0,0
360,@FoxNews,".@jasoninthehouse on Comey's draft statement on #Clinton email probe: ""Why are we supposed to just believe everythi… https://t.co/xVIC7yatl3",2017-12-15 00:33:58,0.0,0.0,1.0,0.0,0
361,@FoxNews,"Mark Penn on anti-Trump text messages: ""It's pretty obvious here that these text messages are only gonna pile on to… https://t.co/LrRg5uLr3V",2017-12-15 00:18:50,0.4939,0.138,0.862,0.0,0
362,@FoxNews,.@kimguilfoyle: Edits on Comey's Clinton Memo Show He 'Overstepped His Bounds' https://t.co/lTgLdPi7vQ,2017-12-15 00:16:23,0.0,0.0,1.0,0.0,0
363,@FoxNews,".@MZHemingway: ""Ultimately, we are talking about whether you can trust our @FBI to do a good job investigating peop… https://t.co/F6THU9qUl1",2017-12-15 00:07:07,0.7351,0.267,0.733,0.0,0
364,@FoxNews,"""The job of the @FBI is not to decide whom to prosecute, but to present the evidence to professional prosecutors in… https://t.co/43AR0tgfVX",2017-12-14 23:57:47,-0.2144,0.0,0.919,0.081,0
365,@FoxNews,"Long Island woman laundered money to ISIS through Bitcoin, prosecutors say https://t.co/XJSQ4Vq3Xi",2017-12-14 23:42:03,0.0,0.0,1.0,0.0,0
366,@FoxNews,"RT @MikeEmanuelFox: Not all Republicans are on board with the current tax package - from #SpecialReport with @bretbaier tonight:

https://t…",2017-12-14 23:40:51,0.0,0.0,1.0,0.0,0
367,@FoxNews,".@OrrinHatch on tax reform bill: ""It's going to be a major reduction in taxes...We want to hold onto that and I thi… https://t.co/ZJVSQpR4q0",2017-12-14 23:31:25,0.0772,0.061,0.939,0.0,0
368,@FoxNews,Female Democratic lawmaker walks back comments on women's wardrobes being an 'invitation' to harassment https://t.co/u3J7YI4QAo,2017-12-14 23:19:06,-0.5423,0.0,0.8,0.2,0
369,@FoxNews,"RT @FoxNewsResearch: #StarWars 
•Last Jedi: 9th Star Wars movie since 1977
•Franchise-to-date: $7.3+ billion box office worldwide 
•2015: T…",2017-12-14 23:18:18,-0.5574,0.0,0.833,0.167,0
370,@FoxNews,#SantaClaus handed out candy canes to kids during a celebration for the #USSAsheville's arrival at the @USNavy's… https://t.co/7c5S5tcM7c,2017-12-14 23:05:28,0.0,0.0,1.0,0.0,0
371,@FoxNews,"Evergreen professor who made anti-white comments resigns, gets $240G settlement https://t.co/X5jGDfzTaX",2017-12-14 23:01:10,-0.3182,0.0,0.813,0.187,0
372,@FoxNews,GOP senators hold back support for tax bill over child tax credit https://t.co/NAMfTVdO5G,2017-12-14 22:46:50,0.6486,0.325,0.675,0.0,0
373,@FoxNews,".@kimguilfoyle on James Comey ""overstepping his bounds"": ""What it looks like is they actually tried to tip the scal… https://t.co/QmuMC0enkK",2017-12-14 22:37:12,0.3612,0.116,0.884,0.0,0
374,@FoxNews,"Comey edits revealed: Remarks on Clinton probe were watered down, documents show https://t.co/jpx1nMxGZ6",2017-12-14 22:33:38,0.0,0.0,1.0,0.0,0
375,@FoxNews,"'Draining the Swamp': @POTUS Literally Cuts Red Tape, Touts Historic Regulatory Reform https://t.co/LJYvrUXCzh",2017-12-14 22:31:31,-0.3182,0.0,0.769,0.231,0
376,@FoxNews,Ex-NBC News production assistant reveals secret relationship with Matt Lauer https://t.co/Tvj3AmcDdi,2017-12-14 22:25:10,0.0,0.0,1.0,0.0,0
377,@FoxNews,"US fighter jets 'head-butt' Russian jets in Syria, US official says https://t.co/GSLnkjCqYT",2017-12-14 22:12:11,0.1531,0.127,0.873,0.0,0
378,@FoxNews,Fertility doctor accused of impregnating patients with own sperm receives no jail time https://t.co/gOwHMZKFDN,2017-12-14 22:03:15,-0.5267,0.0,0.732,0.268,0
379,@FoxNews,"Lee Carter on Rubio voting ""no"" GOP tax bill: ""I think @marcorubio is trying to be a hero for the middle class.""… https://t.co/FMen8lQi76",2017-12-14 22:01:05,0.5574,0.146,0.854,0.0,0
380,@FoxNews,"Arizona man accused of burning down $40,000 Christmas tree https://t.co/0FwYhVX7AB",2017-12-14 21:54:52,-0.296,0.0,0.804,0.196,0
381,@FoxNews,"Doug Burns on anti-Trump text messages: ""You're entitled to have your own private political opinion, that's true, b… https://t.co/vvo4S8nIUC",2017-12-14 21:43:28,0.5994,0.224,0.776,0.0,0
382,@FoxNews,".@BuckSexton on ISIS threats in NYC: ""In the era of lone wolf Jihadism that we're in right now, you never know. All… https://t.co/yhGYHt7nxk",2017-12-14 21:35:26,-0.5994,0.0,0.811,0.189,0
383,@FoxNews,".@BuckSexton on ISIS threats to NYC: ""A big part of how Jihadists pick their targets is symbolism and that's why Ne… https://t.co/XzOTDJyjWA",2017-12-14 21:32:17,-0.4215,0.0,0.882,0.118,0
384,@FoxNews,Widow of Kentucky State Rep. Dan Johnson says she'll pursue his seat https://t.co/IgsJfAa02i,2017-12-14 21:28:08,0.0,0.0,1.0,0.0,0
